,Zona,Finca,Peso,Diámetro Sutural,Diámetro Contrasutural
890,3.0,1901,130,64,64
891,2.0,40801,20,50,50
892,3.0,901,100,62,60
893,3.0,1301,200,65,66
894,3.0,1901,85,55.5,54
895,3.0,1201,165,69.5,68.6
896,3.0,901,110,59,62
897,3.0,1901,75,52,51
898,2.0,40901,190,70,75
899,2.0,40801,30,51,52
900,3.0,901,110,60,59
901,3.0,1502,235,70,67
902,3.0,303,168,71.1,68.3
903,2.0,40801,30,55,55
904,3.0,1032,130,66,62
905,2.0,40801,30,50,54
906,3.0,201,135,64.2,63.6
907,2.0,40801,30,51,51
908,2.0,40901,170,68,74
909,2.0,40901,205,73,73
910,3.0,1901,100,56,57
911,3.0,401,150,64.2,65.5
912,3.0,1201,165,69.7,69.9
913,3.0,1801,65,52.5,50
914,3.0,1901,105,55.6,58
915,2.0,40801,30,53,51
916,3.0,1032,155,65,67
917,3.0,1901,95,57.6,53.4
918,3.0,901,145,62,68
919,3.0,701,169,66.4,65.5
920,3.0,401,129,63.1,61.6
921,3.0,1601,220,76.2,80
922,2.0,40801,10,46,44
923,2.0,40901,180,66,75
924,3.0,1801,160,67,71
925,3.0,701,168,67.2,66.6
926,2.0,40901,135,65,69
927,2.0,40801,30,54,55
928,2.0,40801,100,61,60
929,3.0,801,110,58,61
930,3.0,701,143,62.2,62.2
931,3.0,901,100,61,51
932,3.0,101,118,59.9,60.3
933,3.0,401,169,68.3,69.5
934,3.0,1201,175,65.6,71.4
935,2.0,40801,20,47,46
936,3.0,1401,150,69,63
937,3.0,101,127,60.5,63
938,3.0,1901,105,59,59
939,3.0,1201,125,64.2,63.3
940,2.0,40901,140,64,67
941,3.0,701,110,57.3,58
942,3.0,101,104,58.8,55.9
943,3.0,101,68,50.5,50.5
944,3.0,101,111,58.1,59
945,3.0,801,135,64,68
946,2.0,40801,20,47,46
947,2.0,40801,30,51,51
948,3.0,1801,115,62.4,61
949,2.0,40801,100,59,56
950,3.0,201,147,65.9,65.5
951,3.0,201,189,69.9,72.5
952,3.0,701,132,62.5,61.5
953,3.0,1032,120,62,60
954,3.0,1201,155,66.3,72.5
955,3.0,501,171,65.3,69.2
956,3.0,303,198,69.2,75.6
957,3.0,1032,140,67,65
958,2.0,40901,185,69,72
959,3.0,1601,115,60.7,62
960,2.0,40901,145,60,68
961,3.0,201,153,67.2,67.6
962,2.0,40801,20,52,52
963,2.0,40801,100,56,60
964,2.0,40901,190,70,75
965,2.0,40801,100,59,59
966,3.0,303,217,74.2,77.2
967,3.0,701,140,63.8,62.7
968,3.0,201,154,64.2,65.5
969,3.0,401,147,64.2,64.2
970,3.0,1101,170,68.1,69.4
971,3.0,1101,145,66.3,66.4
972,3.0,1101,175,69.2,70.3
973,3.0,1101,175,71.3,72.7
974,2.0,40801,20,49,49
975,3.0,303,179,65.8,70.5
976,3.0,901,130,61,64
977,3.0,1201,185,71.3,71.7
978,3.0,303,195,73.6,72.7
979,3.0,303,182,70.3,68.1
980,3.0,1701,60,51,47.7
